Pecha ID,Download Link,Non Word Ratio
P3C42B0C4,https://github.com/OpenPecha/P3C42B0C4/archive/refs/heads/botok.zip,0.09
P42A41338,https://github.com/OpenPecha/P42A41338/archive/refs/heads/botok.zip,0.11
PD0D6CD6A,https://github.com/OpenPecha/PD0D6CD6A/archive/refs/heads/botok.zip,0.12
PA0C4F688,https://github.com/OpenPecha/PA0C4F688/archive/refs/heads/botok.zip,0.06
P94CE90D9,https://github.com/OpenPecha/P94CE90D9/archive/refs/heads/botok.zip,0.06
PAF6381F7,https://github.com/OpenPecha/PAF6381F7/archive/refs/heads/botok.zip,0.08
PB35A1867,https://github.com/OpenPecha/PB35A1867/archive/refs/heads/botok.zip,0.06
PBCFFF7D9,https://github.com/OpenPecha/PBCFFF7D9/archive/refs/heads/botok.zip,0.11
P5BB5C91C,https://github.com/OpenPecha/P5BB5C91C/archive/refs/heads/botok.zip,0.12
P37F1E12B,https://github.com/OpenPecha/P37F1E12B/archive/refs/heads/botok.zip,0.04
PEEEF5601,https://github.com/OpenPecha/PEEEF5601/archive/refs/heads/botok.zip,0.1
P8E5295F4,https://github.com/OpenPecha/P8E5295F4/archive/refs/heads/botok.zip,0.05
P40F39034,https://github.com/OpenPecha/P40F39034/archive/refs/heads/botok.zip,0.05
P9AD6513A,https://github.com/OpenPecha/P9AD6513A/archive/refs/heads/botok.zip,0.06
P49D5DF22,https://github.com/OpenPecha/P49D5DF22/archive/refs/heads/botok.zip,0.09
PB1F01C72,https://github.com/OpenPecha/PB1F01C72/archive/refs/heads/botok.zip,0.07
P78B8B084,https://github.com/OpenPecha/P78B8B084/archive/refs/heads/botok.zip,0.07
P20D4CD88,https://github.com/OpenPecha/P20D4CD88/archive/refs/heads/botok.zip,0.08
PA325D444,https://github.com/OpenPecha/PA325D444/archive/refs/heads/botok.zip,0.05
P6AD504B4,https://github.com/OpenPecha/P6AD504B4/archive/refs/heads/botok.zip,0.11
PF7980EB7,https://github.com/OpenPecha/PF7980EB7/archive/refs/heads/botok.zip,0.07
P1483B981,https://github.com/OpenPecha/P1483B981/archive/refs/heads/botok.zip,0.08
P1E7C87B2,https://github.com/OpenPecha/P1E7C87B2/archive/refs/heads/botok.zip,0.11
P27472E7F,https://github.com/OpenPecha/P27472E7F/archive/refs/heads/botok.zip,0.09
P54C08941,https://github.com/OpenPecha/P54C08941/archive/refs/heads/botok.zip,0.08
